,precision,recall,f1-score,support
nv,0.0,0.0,0.0,1080.0
mel,0.0,0.0,0.0,123.0
bkl,0.9078014184397163,0.8827586206896552,0.8951048951048951,145.0
bcc,0.0,0.0,0.0,65.0
akiec,0.0,0.0,0.0,46.0
vasc,0.0,0.0,0.0,20.0
df,0.0,0.0,0.0,15.0
accuracy,0.0856760374832664,0.0856760374832664,0.0856760374832664,0.0856760374832664
macro avg,0.12968591691995948,0.12610837438423644,0.12787212787212787,1494.0
weighted avg,0.0881065633693165,0.0856760374832664,0.08687430374177361,1494.0
