Class,ROC_AUC
nv,0.09839193057792092
mel,0.7924071800893063
bkl,0.9902814345236574
bcc,0.8092049308284437
akiec,0.5042637521018496
vasc,0.029986431478968796
df,0.2895199459093982
Macro Average,0.5020079436442206
Weighted Average,0.286517508098945
