Metric,Value
Train Loss,11.91757493740424
Train Accuracy,0.09186746987951808
Train Balanced Accuracy,0.13655377551964074
Validation Loss,11.874695297864227
Validation Accuracy,0.0856760374832664
Validation Balanced Accuracy,0.12610837438423644
Macro Precision,0.12968591691995948
Macro Recall,0.12610837438423644
Macro F1-score,0.12787212787212787
Weighted Precision,0.0881065633693165
Weighted Recall,0.0856760374832664
Weighted F1-score,0.08687430374177361
