Class,ROC_AUC
nv,0.9668321703345857
mel,0.9167422746437529
bkl,0.9571841210603
bcc,0.989750767077569
akiec,0.9696132596685083
vasc,0.9981004070556309
df,0.9753887762001353
Macro Average,0.9676588251486402
Weighted Average,0.9633591639124401
