epoch,train_loss,train_acc,train_bal_acc,val_loss,val_acc,val_bal_acc,val_macro_f1,lr
1,0.30607828287248356,0.8935898255256599,0.8943495721875067,0.7561435583664113,0.739853626081171,0.3738994293893665,0.41049983464785483,4.98657864365227e-05
2,0.1481743331436055,0.9473061928804244,0.9481003252092962,0.4576569309412283,0.8416500332667998,0.6524040858096648,0.6751016867346394,4.946461621797824e-05
3,0.12267223633380266,0.9563175049530261,0.9570427526849855,0.39032468281027005,0.8596141051230871,0.7589772394954258,0.7574898551987197,4.880088464923127e-05
4,0.10538670094086326,0.9619735412539145,0.9626290102800816,0.41521432882773424,0.8502994011976048,0.739792291992934,0.7341479857575258,4.7881863712243726e-05
5,0.09675611356490277,0.9649773119447818,0.96561305794095,0.3950596908212739,0.8556220891550232,0.6944188396948313,0.7190849296056643,4.671762239271876e-05
6,0.09041610335886363,0.9674058925033553,0.967986941182825,0.37578577467464086,0.8715901530272788,0.7386070762180716,0.7721394849983892,4.532091636218622e-05
7,0.07565255636789507,0.9725826036939988,0.9730751419854604,0.3237485580656898,0.8835662009314704,0.7852753601559799,0.8013508178476139,4.370704822419616e-05
8,0.06765590136457489,0.9757461494216144,0.976224525876872,0.3565520715174164,0.8682634730538922,0.7543259463838156,0.7673319640713784,4.1893699855792026e-05
9,0.06531026031843885,0.975873969451013,0.9763389982029699,0.32915246133715487,0.8948769128409847,0.7794287365668319,0.7902286077532616,3.990073868116559e-05
10,0.05960096329487639,0.9785581900683837,0.9789903456091047,0.3232671598633051,0.8862275449101796,0.8085145617184716,0.8180118705974353,3.775e-05
11,0.04907023141030011,0.9819454208474468,0.9823007213311781,0.32748024171083195,0.8888888888888888,0.8434873931942601,0.8262455391591317,3.546504775535711e-05
12,0.04386303108389296,0.9839266313031252,0.98427003746397,0.34139675439316197,0.8915502328675982,0.8212829191876817,0.8210118708647381,3.307091636218621e-05
13,0.04086197968194858,0.9849172365309644,0.9852609311706272,0.3932785658749516,0.8782435129740519,0.8127974289744958,0.8183888601423002,3.05938364250351e-05
14,0.0354426672063739,0.9868984469866428,0.9871926523986048,0.37061381240884067,0.8988689288090486,0.8304325369838682,0.8469371962469365,2.806094735005751e-05
15,0.029599544314671846,0.9894228925672653,0.9896628623378562,0.37876160003378717,0.8968729208250167,0.8482122144174759,0.8412210220139054,2.5500000000000003e-05
16,0.026669897299390403,0.9902217677510066,0.9904577364284696,0.35436938511714566,0.9028609447771124,0.8505826791319991,0.8549056353505968,2.2939052649942493e-05
17,0.022119794469566276,0.9914999680449926,0.9917052442722817,0.3685462233744914,0.906187624750499,0.857064624362657,0.8468476853527059,2.0406163574964894e-05
18,0.02096437240989823,0.9922349332140347,0.9924337774224321,0.3294634013644315,0.9075182967398536,0.8826049724591992,0.8697015282754681,1.792908363781379e-05
19,0.01719956185915685,0.9936089985300697,0.9937623279081311,0.4229753198038913,0.8995342648037259,0.8287406172494275,0.83792449096411,1.55349522446429e-05
20,0.014458905428205793,0.9946315587652585,0.9947727001691765,0.4443457308903842,0.9015302727877578,0.8460037000058753,0.8348997712125676,1.3250000000000005e-05
21,0.01219237328110224,0.9955582539783984,0.9956693567351466,0.434720705689011,0.9008649367930806,0.805987403672198,0.8248255800662834,1.1099261318834412e-05
22,0.011871780498965272,0.9959417140665943,0.9960466212732116,0.4232761391571147,0.9048569527611444,0.8321719942152302,0.8463207456452475,9.106300144207982e-06
23,0.008749541353469795,0.9971240493385314,0.9971997669591611,0.4736783355647197,0.9041916167664671,0.8310356779026857,0.8358264179188541,7.2929517758038465e-06
24,0.006636887553122546,0.9974435994120279,0.9975045085603639,0.4830646099307694,0.9108449767132402,0.8573255893640563,0.8608465295789101,5.6790836378137905e-06
25,0.005727795360894341,0.9978590145075733,0.9979134806422801,0.475263369300961,0.9135063206919495,0.8556426402168521,0.8553128602049271,4.282377607281252e-06
26,0.005927603066310957,0.9979548795296223,0.998004276178907,0.4770560173146769,0.9121756487025948,0.8708352278680767,0.8625970999597562,3.1181362877562766e-06
27,0.0038410420266236714,0.998625934683965,0.9986564555972463,0.4641455465132002,0.9188290086493679,0.8675164806621211,0.8699552914789487,2.199115350768739e-06
28,0.0033554591079975687,0.998625934683965,0.9986564752895495,0.4985225385133795,0.9128409846972722,0.8556768151746491,0.8570042897595455,1.535383782021761e-06
29,0.004536506710981509,0.9985939796766153,0.9986312037482554,0.49626945325991983,0.9121756487025948,0.8528216720286592,0.8573201572565089,1.1342135634773016e-06
30,0.0029845092272706123,0.9989135297501118,0.9989461594495351,0.5230467384780249,0.9128409846972722,0.8485924862413334,0.8596349264840691,1e-06
